,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,features,column_mean,column_std
46,46,46,46,"heartrate__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""min""",1.0489553862332306e-15,1.0000000000000064
47,47,47,47,"heartrate__agg_linear_trend__attr_""stderr""__chunk_len_5__f_agg_""var""",4.8170061989789336e-15,0.9999999999999989
48,48,48,48,heartrate__approximate_entropy__m_2__r_0.1,-3.677694703863951e-15,0.9999999999999915
49,49,49,49,heartrate__approximate_entropy__m_2__r_0.3,-3.827333525336358e-14,1.0000000000000107
50,50,50,50,heartrate__approximate_entropy__m_2__r_0.5,5.229143026961785e-15,1.0000000000000162
51,51,51,51,heartrate__approximate_entropy__m_2__r_0.7,-5.226667771205527e-16,1.0000000000000062
52,52,52,52,heartrate__approximate_entropy__m_2__r_0.9,2.4779866310679982e-14,0.9999999999999966
53,53,53,53,heartrate__ar_coefficient__coeff_0__k_10,-7.892870624272482e-17,1.0000000000000049
54,54,54,54,heartrate__ar_coefficient__coeff_10__k_10,-1.612836520608678e-17,1.0000000000000022
55,55,55,55,heartrate__ar_coefficient__coeff_1__k_10,-4.0235987546646475e-14,0.9999999999999949
56,56,56,56,heartrate__ar_coefficient__coeff_2__k_10,1.51159426051689e-16,1.0000000000000027
57,57,57,57,heartrate__ar_coefficient__coeff_3__k_10,3.47721901053774e-17,0.9999999999999991
58,58,58,58,heartrate__ar_coefficient__coeff_4__k_10,3.4238368237473835e-17,1.0000000000000002
59,59,59,59,heartrate__ar_coefficient__coeff_5__k_10,3.0497110002766245e-17,0.9999999999999982
60,60,60,60,heartrate__ar_coefficient__coeff_6__k_10,2.6220976061703013e-17,0.9999999999999999
61,61,61,61,heartrate__ar_coefficient__coeff_7__k_10,-1.4235378905972005e-16,0.9999999999999986
62,62,62,62,heartrate__ar_coefficient__coeff_8__k_10,-3.690521182431966e-17,1.0000000000000007
63,63,63,63,heartrate__ar_coefficient__coeff_9__k_10,4.255926588744508e-18,1.0000000000000013
64,64,64,64,"heartrate__augmented_dickey_fuller__attr_""pvalue""__autolag_""aic""",5.422165763987162e-15,1.000000000000002
65,65,65,65,"heartrate__augmented_dickey_fuller__attr_""teststat""__autolag_""aic""",9.157646171305428e-16,1.0000000000006064
66,66,66,66,heartrate__autocorrelation__lag_1,-1.12460581181921e-15,0.9999999999999967
67,67,67,67,heartrate__autocorrelation__lag_2,4.829838747656432e-14,0.9999999999999967
68,68,68,68,heartrate__autocorrelation__lag_3,-6.0977453435759824e-15,0.9999999999999959
69,69,69,69,heartrate__autocorrelation__lag_4,1.2073542187618234e-14,0.9999999999999881
70,70,70,70,heartrate__autocorrelation__lag_5,-2.2107107739370297e-14,0.9999999999999896
71,71,71,71,heartrate__autocorrelation__lag_6,-3.862446073646605e-15,0.999999999999999
72,72,72,72,heartrate__autocorrelation__lag_7,9.290371697077482e-15,0.9999999999999976
73,73,73,73,heartrate__autocorrelation__lag_8,1.7480679372207906e-14,0.9999999999999926
74,74,74,74,heartrate__autocorrelation__lag_9,7.168048967636166e-15,1.0000000000000089
